SerialNumber,Result,FailList,SlotID,Test Start Time,Test End Time,CALC comment,Dialog async,boardversion calibration_version|not,boardversion calibration_date|not,CALC fixture_channel,CALC smt_site,CALC not_rel,CALC smt_site_not_oqc,CALC smt_site_not_rel,CALC smt_site_not_oqc_not_rel,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,DMM DUT_DETECTION_GND1,DMM DUT_DETECTION_GND2,Dialog sync,Test calculate 1,DMM DUT_DETECTION_GND3,DMM DUT_DETECTION_GND4,Station NonUI Test1,Station NonUI Test2,Station NonUI Test3,Station NonUI Test4,Station NonUI Test5,Station NonUI Test6,Station NonUI Test7,Unit NonUI Test1,Unit NonUI Test2,Unit NonUI Test3,Unit NonUI Test4,CALC float value,CALC pi,Arduino set LED on,Arduino set LED off,Arduino BUTTON ON,Arduino read resistance | PDCA,Arduino read resistance2 | PDCA,
445554,Pass,,Unit-4,2020/7/3 10:43:43,2020/7/3 10:43:59,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
334433,Pass,,Unit-3,2020/7/3 10:43:43,2020/7/3 10:43:59,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
122211,Pass,,Unit-1,2020/7/3 10:43:43,2020/7/3 10:43:59,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
233322,Pass,,Unit-2,2020/7/3 10:43:43,2020/7/3 10:43:59,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
334433,Pass,,Unit-3,2020/7/3 10:44:01,2020/7/3 10:44:17,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
445554,Pass,,Unit-4,2020/7/3 10:44:01,2020/7/3 10:44:17,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
233322,Pass,,Unit-2,2020/7/3 10:44:01,2020/7/3 10:44:17,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
122211,Pass,,Unit-1,2020/7/3 10:44:01,2020/7/3 10:44:17,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
122211,Pass,,Unit-1,2020/7/3 10:44:19,2020/7/3 10:44:34,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
233322,Pass,,Unit-2,2020/7/3 10:44:19,2020/7/3 10:44:34,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
445554,Pass,,Unit-4,2020/7/3 10:44:19,2020/7/3 10:44:34,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,,,,12,YES,NO,NO,NO,NO,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,0.06,0.06,,YES,0.06,0.06,OK,OK,OK,OK,OK,OK,OK,0.06,0.06,0.06,0.06,6.2,3.141592653589793,OK*_*,OK*_*,,+2.3905E+06,-1.1905E+05,
